"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Test to verify response when updating a booking with an invalid token.","581","Test Negative Update Booking","","Mon Jul 29 19:23:41 GST 2024","passed","Mon Jul 29 19:23:41 GST 2024","","Update Booking Suite","",""
"This test verifies that bookings can be retrieved using a combination of first and last name query parameters.","642","Verify Booking Retrieval by Query Name","","Mon Jul 29 19:23:39 GST 2024","passed","Mon Jul 29 19:23:40 GST 2024","","GET Booking Suite","",""
"Test to update a booking and verify the response.","615","Test Update Booking","","Mon Jul 29 19:23:40 GST 2024","passed","Mon Jul 29 19:23:41 GST 2024","","Update Booking Suite","",""
"Test to verify response when partially updating a booking without providing a token.","583","Test Negative Partial Update Booking without Token","","Mon Jul 29 19:23:43 GST 2024","passed","Mon Jul 29 19:23:43 GST 2024","","Partial Update Booking Suite","",""
"Test to create a booking and verify the response.","591","Test Create Booking","","Mon Jul 29 19:23:37 GST 2024","passed","Mon Jul 29 19:23:38 GST 2024","","Create Booking Suite","",""
"This test verifies that bookings can be retrieved using specific check-in and check-out date query parameters.","585","Verify Booking Retrieval by Check-in and Check-out Dates","","Mon Jul 29 19:23:40 GST 2024","passed","Mon Jul 29 19:23:40 GST 2024","","GET Booking Suite","",""
"Test to create authentication token for booking API.","581","Test Booking Token Creation","","Mon Jul 29 19:23:37 GST 2024","passed","Mon Jul 29 19:23:37 GST 2024","","Create Token Booking Suite","",""
"Test to verify response when partially updating a booking with an invalid token.","565","Test Negative Partial Update Booking with Invalid Token","","Mon Jul 29 19:23:42 GST 2024","passed","Mon Jul 29 19:23:43 GST 2024","","Partial Update Booking Suite","",""
"This test retrieves all bookings and checks the response status and content.","581","Test Getting all Bookings","","Mon Jul 29 19:23:38 GST 2024","passed","Mon Jul 29 19:23:38 GST 2024","","GET Booking Suite","",""
"Test to verify response when partially updating a booking with token.","562","Test Partial Update Booking with Token","","Mon Jul 29 19:23:41 GST 2024","passed","Mon Jul 29 19:23:42 GST 2024","","Partial Update Booking Suite","",""
"Test to verify response when partially updating a booking with basic authorization instead of using a token","580","Test Partial Update Booking with Basic Authorization","","Mon Jul 29 19:23:43 GST 2024","passed","Mon Jul 29 19:23:44 GST 2024","","Partial Update Booking Suite","",""
"This test retrieves a booking by ID and checks the response status and content.","564","Test Getting Booking by ID","","Mon Jul 29 19:23:38 GST 2024","passed","Mon Jul 29 19:23:39 GST 2024","","GET Booking Suite","",""
"Test to delete a booking by ID using a valid token and verify the response.","572","Test Delete Booking by ID with Valid Token","","Mon Jul 29 19:23:44 GST 2024","passed","Mon Jul 29 19:23:44 GST 2024","","Delete Booking Suite","",""
"This test checks if the health endpoint is reachable and returns the expected status code.","1017","Health Check Test","","Mon Jul 29 19:23:36 GST 2024","passed","Mon Jul 29 19:23:37 GST 2024","","Ping Tests","",""
